År,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EA,EA12,EA19,EA20,EE,EL,ES,EU15,EU27,EU28,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UK,XK,NO SSB,NOf,US,0%,1%,2%,3%,4%
1947-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2457028978887852,0.0,-0.5700000000000001,-1.1400000000000001,-1.71,-2.2800000000000002
1948-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2227223403647391,0.0,-0.56,-1.12,-1.68,-2.24
1949-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2455057305802502,0.0,-0.55,-1.1,-1.65,-2.2
1950-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1784661752757382,0.0,-0.54,-1.08,-1.6199999999999999,-2.16
1951-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.118348969591045,0.0,-0.53,-1.06,-1.5899999999999999,-2.12
1952-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0955317075921496,0.0,-0.52,-1.04,-1.56,-2.08
1953-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0661540045415947,0.0,-0.51,-1.02,-1.53,-2.04
1954-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0894536259547767,0.0,-0.5,-1.0,-1.5,-2.0
1955-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0382099029555416,0.0,-0.49000000000000005,-0.9800000000000001,-1.47,-1.9600000000000002
1956-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0347492740629525,0.0,-0.4800000000000001,-0.9600000000000002,-1.44,-1.9200000000000004
